2048	3	0   0
535	805	444	564
536	35	332	563
537	218	806	563
538	102	806	332
539	806	332	563
540	218	805	806
541	102	804	806
542	158	804	805
543	804	805	806
544	12	441	315
545	94	807	315
546	157	807	441
547	807	441	315
548	63	442	566
549	219	808	566
550	157	808	442
551	808	442	566
552	31	316	565
553	219	809	565
554	94	809	316
555	809	316	565
556	219	808	809
557	94	807	809
558	157	807	808
559	807	808	809
560	63	566	564
561	218	810	564
562	219	810	566
563	810	566	564
564	31	565	561
565	217	811	561
566	219	811	565
567	811	565	561
568	35	563	562
569	217	812	562
570	218	812	563
571	812	563	562
572	217	811	812
573	218	810	812
574	219	810	811
575	810	811	812
576	5	317	385
577	129	813	385
578	95	813	317
579	813	317	385
580	32	318	567
581	220	814	567
582	95	814	318
583	814	318	567
584	49	386	568
585	220	815	568
586	129	815	386
587	815	386	568
588	220	814	815
589	129	813	815
590	95	813	814
591	813	814	815
592	21	447	387
593	130	816	387
594	160	816	447
595	816	447	387
596	64	448	570
597	221	817	570
598	160	817	448
599	817	448	570
600	49	388	569
601	221	818	569
602	130	818	388
603	818	388	569
604	221	817	818
605	130	816	818
606	160	816	817
607	816	817	818
608	12	445	319
609	96	819	319
610	159	819	445
611	819	445	319
612	64	446	572
613	222	820	572
614	159	820	446
615	820	446	572
616	32	320	571
617	222	821	571
618	96	821	320
619	821	320	571
620	222	820	821
621	96	819	821
622	159	819	820
623	819	820	821
624	64	572	570
625	221	822	570
626	222	822	572
627	822	572	570
628	32	571	567
629	220	823	567
630	222	823	571
631	823	571	567
632	49	569	568
633	220	824	568
634	221	824	569
635	824	569	568
636	220	823	824
637	221	822	824
638	222	822	823
639	822	823	824
640	6	333	389
641	131	825	389
642	103	825	333
643	825	333	389
644	36	334	573
645	223	826	573
646	103	826	334
647	826	334	573
648	50	390	574
649	223	827	574
650	131	827	390
651	827	390	574
652	223	826	827
653	131	825	827
654	103	825	826
655	825	826	827
656	21	451	391
657	132	828	391
658	162	828	451
659	828	451	391
660	65	452	576
661	224	829	576
662	162	829	452
663	829	452	576
664	50	392	575
665	224	830	575
666	132	830	392
667	830	392	575
668	224	829	830
669	132	828	830
670	162	828	829
671	828	829	830
672	14	449	335
673	104	831	335
674	161	831	449
675	831	449	335
676	65	450	578
677	225	832	578
678	161	832	450
679	832	450	578
680	36	336	577
681	225	833	577
682	104	833	336
683	833	336	577
684	225	832	833
685	104	831	833
686	161	831	832
687	831	832	833
688	65	578	576
689	224	834	576
690	225	834	578
691	834	578	576
692	36	577	573
693	223	835	573
694	225	835	577
695	835	577	573
696	50	575	574
697	223	836	574
698	224	836	575
699	836	575	574
700	223	835	836
701	224	834	836
702	225	834	835
703	834	835	836
704	21	447	451
705	162	837	451
706	160	837	447
707	837	447	451
708	64	448	579
709	226	838	579
710	160	838	448
711	838	448	579
712	65	452	580
713	226	839	580
714	162	839	452
715	839	452	580
716	226	838	839
717	162	837	839
718	160	837	838
719	837	838	839
720	14	443	449
721	161	840	449
722	158	840	443
723	840	443	449
724	63	444	581
725	227	841	581
726	158	841	444
727	841	444	581
728	65	450	582
729	227	842	582
730	161	842	450
731	842	450	582
732	227	841	842
733	161	840	842
734	158	840	841
735	840	841	842
736	12	441	445
737	159	843	445
738	157	843	441
739	843	441	445
740	63	442	583
741	228	844	583
742	157	844	442
743	844	442	583
744	64	446	584
745	228	845	584
746	159	845	446
747	845	446	584
748	228	844	845
749	159	843	845
750	157	843	844
751	843	844	845
752	63	583	581
753	227	846	581
754	228	846	583
755	846	583	581
756	64	584	579
757	226	847	579
758	228	847	584
759	847	584	579
760	65	582	580
761	226	848	580
